replication,degree,method,selected_bandwidth,validation_mean_nv_loss,test_mean_excess_risk,test_expected_nv_loss,test_mean_effective_n,runtime_sec
0,0,KO,0.25,0.19008764698153527,0.0757868063638473,0.1695368063638473,532.6913580246913,1.2525732517242432
0,1,KPQR-1,0.25,0.10450026811590421,0.0032703864817445693,0.09702038648174457,532.6913580246913,1.4351119995117188
0,2,KPQR-2,0.25,0.09904093168342518,0.00041953176212062833,0.09416953176212063,532.6913580246913,1.6007869243621826
1,0,KO,0.25,0.18694378261863712,0.08110238387859593,0.17485238387859592,528.604938271605,1.1912016868591309
1,1,KPQR-1,0.25,0.10084138583844901,0.005371413962838348,0.09912141396283834,528.604938271605,1.4381742477416992
1,2,KPQR-2,0.25,0.09588067403511072,0.0007933813787668468,0.09454338137876685,528.604938271605,1.6573498249053955
2,0,KO,0.25,0.17135310510538382,0.07500510932563816,0.16875510932563814,527.716049382716,1.183480978012085
2,1,KPQR-1,0.25,0.09670626802955441,0.0028072086618601737,0.09655720866186017,527.716049382716,1.4290599822998047
2,2,KPQR-2,0.25,0.08944466090734021,0.0005613800780853904,0.09431138007808539,527.716049382716,1.6191051006317139
3,0,KO,0.25,0.16984454010551064,0.0735680307976959,0.16731803079769592,532.4567901234568,1.185711145401001
3,1,KPQR-1,0.25,0.10614380693113101,0.004996317485476061,0.09874631748547606,532.4567901234568,1.4292778968811035
3,2,KPQR-2,0.25,0.10384621091808764,0.00041810014241049727,0.09416810014241049,532.4567901234568,1.6044049263000488
4,0,KO,0.25,0.1662702049378595,0.07572033676498365,0.16947033676498363,533.1358024691358,1.197204351425171
4,1,KPQR-1,0.25,0.09529284023887992,0.0034494880628124637,0.09719948806281246,533.1358024691358,1.4290931224822998
4,2,KPQR-2,0.25,0.09362653367086246,0.0003621433556867196,0.09411214335568673,533.1358024691358,1.6009061336517334
5,0,KO,0.25,0.16852005254180127,0.07159141499090901,0.165341414990909,531.604938271605,1.2100780010223389
5,1,KPQR-1,0.25,0.1011946458312742,0.0033932600725608045,0.0971432600725608,531.604938271605,1.44901704788208
5,2,KPQR-2,0.25,0.09913301101614445,0.00017956333466424953,0.09392956333466425,531.604938271605,1.624631643295288
6,0,KO,0.25,0.16035863751950827,0.07080121958622478,0.16455121958622476,531.074074074074,1.180497169494629
6,1,KPQR-1,0.25,0.09609109191672106,0.003667531764981991,0.097417531764982,531.074074074074,1.4295649528503418
6,2,KPQR-2,0.25,0.09626120553217618,0.0006827811563810898,0.0944327811563811,531.074074074074,1.6016089916229248
7,0,KO,0.25,0.18673860231851422,0.07566744145100757,0.16941744145100757,529.2098765432099,1.2015199661254883
7,1,KPQR-1,0.25,0.0951677207699672,0.004397078123246985,0.09814707812324698,529.2098765432099,1.4490199089050293
7,2,KPQR-2,0.25,0.09460677003985149,0.00020542081071040045,0.0939554208107104,529.2098765432099,1.5947887897491455
8,0,KO,0.25,0.17167829184684244,0.07333618443126202,0.16708618443126202,532.5432098765432,1.2201321125030518
8,1,KPQR-1,0.25,0.09120919520838264,0.004197382788068846,0.09794738278806885,532.5432098765432,1.4805278778076172
8,2,KPQR-2,0.25,0.09297301072909757,0.0007299946656279066,0.09447999466562791,532.5432098765432,1.637894868850708
9,0,KO,0.25,0.16762456729546998,0.07447612113961559,0.1682261211396156,530.7901234567901,1.1803879737854004
9,1,KPQR-1,0.25,0.09746053398128923,0.0039517259047755285,0.09770172590477552,530.7901234567901,1.4273040294647217
9,2,KPQR-2,0.25,0.0966030396546301,0.00033235014256774323,0.09408235014256774,530.7901234567901,1.5989501476287842
10,0,KO,0.25,0.15375318962904969,0.07289048129746124,0.16664048129746123,529.1604938271605,1.1649479866027832
10,1,KPQR-1,0.25,0.08424508231745328,0.003936179674173026,0.09768617967417302,529.1604938271605,1.400399923324585
10,2,KPQR-2,0.25,0.08334824853478454,0.0003926051137643795,0.09414260511376438,529.1604938271605,1.5577540397644043
11,0,KO,0.25,0.14438974605639812,0.07005218831052056,0.16380218831052057,528.3456790123457,1.2038838863372803
11,1,KPQR-1,0.25,0.09348354911853476,0.0022901463170346844,0.09604014631703468,528.3456790123457,1.440674066543579
11,2,KPQR-2,0.25,0.09360890292872505,0.0002308371481155759,0.09398083714811557,528.3456790123457,1.6095366477966309
12,0,KO,0.25,0.15813660257484785,0.06979539888895327,0.16354539888895325,532.0864197530864,1.1864190101623535
12,1,KPQR-1,0.25,0.0941996658124717,0.0050695631907745654,0.09881956319077456,532.0864197530864,1.419795036315918
12,2,KPQR-2,0.25,0.08716229968676177,0.0005403159644448294,0.09429031596444483,532.0864197530864,1.604036808013916
13,0,KO,0.25,0.1741362666277319,0.07372767926497288,0.16747767926497287,533.1975308641976,1.2196831703186035
13,1,KPQR-1,0.25,0.08907810422179771,0.0021235886652928382,0.09587358866529284,533.1975308641976,1.4388768672943115
13,2,KPQR-2,0.25,0.08555346847797189,0.0003719177475293026,0.0941219177475293,533.1975308641976,1.621999979019165
14,0,KO,0.25,0.16286818150063426,0.0677910957643603,0.16154109576436032,529.0370370370371,1.2132599353790283
14,1,KPQR-1,0.25,0.10164328665831146,0.0037645756632777656,0.09751457566327777,529.0370370370371,1.478654146194458
14,2,KPQR-2,0.25,0.10081140085568688,0.00040720762556004493,0.09415720762556004,529.0370370370371,1.6015915870666504
15,0,KO,0.25,0.16263406632171798,0.06835136192324773,0.16210136192324773,530.358024691358,1.1747910976409912
15,1,KPQR-1,0.25,0.09818421202627058,0.002164459018210664,0.09591445901821066,530.358024691358,1.4232912063598633
15,2,KPQR-2,0.25,0.09776146206884359,0.0010829461587147182,0.09483294615871472,530.358024691358,1.6734399795532227
16,0,KO,0.25,0.1609582517978376,0.07212225070706875,0.16587225070706874,533.3827160493827,1.2515239715576172
16,1,KPQR-1,0.25,0.089566666846735,0.003453768603758254,0.09720376860375825,533.3827160493827,1.5131456851959229
16,2,KPQR-2,0.25,0.08668529288343241,0.00019085231235641347,0.09394085231235641,533.3827160493827,1.6454567909240723
17,0,KO,0.25,0.1661017908659293,0.07590856837259893,0.16965856837259893,529.6543209876543,1.2210800647735596
17,1,KPQR-1,0.25,0.08626062242564543,0.0033920949395504847,0.09714209493955049,529.6543209876543,1.4552149772644043
17,2,KPQR-2,0.25,0.08598377964086266,0.0008383664011393156,0.09458836640113931,529.6543209876543,1.6381278038024902
18,0,KO,0.25,0.16043147073977224,0.07171210787000445,0.16546210787000445,530.8765432098766,1.2318329811096191
18,1,KPQR-1,0.25,0.09866257773274441,0.0030947648882530695,0.09684476488825307,530.8765432098766,1.519881010055542
18,2,KPQR-2,0.25,0.09782615092527523,0.0005409886938319519,0.09429098869383196,530.8765432098766,1.656045913696289
19,0,KO,0.25,0.15316669219084753,0.07384078603972972,0.1675907860397297,528.9506172839506,1.2085349559783936
19,1,KPQR-1,0.25,0.08635059028819805,0.00328265527420521,0.09703265527420521,528.9506172839506,1.4296321868896484
19,2,KPQR-2,0.25,0.08632877984094442,0.00034113232126779835,0.0940911323212678,528.9506172839506,1.6007401943206787
