replication,degree,method,selected_bandwidth,query_x,oracle_decision,estimated_decision,pointwise_excess_risk
0,0,KO,0.25,0.02,2.3516516048510954,2.4518753096802213,0.005022395504837865
0,0,KO,0.25,0.032,2.3538149387682963,2.4695213964647746,0.006693992176333471
0,0,KO,0.25,0.044,2.3584450962402292,2.4921367479680483,0.008936728870856225
0,0,KO,0.25,0.05600000000000001,2.365532543127562,2.5110189467665296,0.0105831468219003
0,0,KO,0.25,0.068,2.375067618972426,2.5283675325571977,0.011750431752549265
0,0,KO,0.25,0.08,2.38704053183983,2.5435360788375347,0.012245428115055454
0,0,KO,0.25,0.09200000000000001,2.4014413527980447,2.556074995324689,0.011955781700529022
0,0,KO,0.25,0.10400000000000001,2.418260010001581,2.5715754459779827,0.011752811454317072
0,0,KO,0.25,0.116,2.4374862823354753,2.591059431314036,0.011792356043595617
0,0,KO,0.25,0.128,2.4591097925739756,2.6067436730979443,0.010897881339282753
0,0,KO,0.25,0.13999999999999999,2.48312,2.625265479238281,0.010102668633940257
0,0,KO,0.25,0.152,2.5095061924239404,2.6584836622779022,0.01109714326204407
0,0,KO,0.25,0.164,2.5382574775310243,2.6876010624832034,0.011151753183184385
0,0,KO,0.25,0.176,2.569362773475381,2.739168440053763,0.014416982201064313
0,0,KO,0.25,0.188,2.6028107986256512,2.7738257452331783,0.014623055981587654
0,0,KO,0.25,0.19999999999999998,2.6385900603509294,2.798191160640463,0.01273625560681485
0,0,KO,0.25,0.212,2.6766888427163567,2.8381121431416627,0.013028740960099316
0,0,KO,0.25,0.224,2.717095192933862,2.883843178710775,0.013902445380328796
0,0,KO,0.25,0.236,2.7597969063842114,2.9160278244099755,0.012204049873586531
0,0,KO,0.25,0.248,2.8047815099900237,2.954575151921111,0.011219067581489384
0,0,KO,0.25,0.26,2.8520362436737248,3.0312420537847737,0.016057361188778665
0,0,KO,0.25,0.272,2.901548039576489,3.0915174926259663,0.018044196545958735
0,0,KO,0.25,0.28400000000000003,2.9533034986401567,3.1944077237752566,0.029065623688998468
0,0,KO,0.25,0.29600000000000004,3.0072888640581694,3.2471936457655683,0.028777152143037374
0,0,KO,0.25,0.30800000000000005,3.063489990975793,3.316368260397803,0.03196956735550249
0,0,KO,0.25,0.32,3.121892311652533,3.3811582326768783,0.03356648025608633
0,0,KO,0.25,0.332,3.182480795073476,3.455572783531551,0.03702299711451873
0,0,KO,0.25,0.34400000000000003,3.245239899685132,3.5139036664993126,0.03591594170354517
0,0,KO,0.25,0.35600000000000004,3.3101535174947005,3.5833320969083045,0.037044644853400976
0,0,KO,0.25,0.36800000000000005,3.377204907144751,3.6588494434331826,0.03916113407210786
0,0,KO,0.25,0.38,3.446376612651597,3.750955208946518,0.04489464907373031
0,0,KO,0.25,0.392,3.5176503630928884,3.8879202153650017,0.06131746306802832
0,0,KO,0.25,0.404,3.5910069463229837,4.013994725012538,0.07449694467238865
0,0,KO,0.25,0.41600000000000004,3.6664260461728446,4.10437689575766,0.07823771239620392
0,0,KO,0.25,0.42800000000000005,3.743886026334887,4.208141050969507,0.08481375615865505
0,0,KO,0.25,0.44,3.823363632614804,4.29630605968598,0.08698560676779399
0,0,KO,0.25,0.452,3.9048335622179935,4.437752040270177,0.1019796195130459
0,0,KO,0.25,0.464,3.9882677974217096,4.531747160461807,0.10461984076002429
0,0,KO,0.25,0.47600000000000003,4.073634467072593,4.596953972384232,0.09957987632790966
0,0,KO,0.25,0.48800000000000004,4.160895548819313,4.6675805667959365,0.09542125449415595
0,0,KO,0.25,0.5,4.25,4.759347590037308,0.09608689750932697
0,0,KO,0.25,0.512,4.340895548819312,4.8327678445061055,0.09171807392169828
0,0,KO,0.25,0.524,4.433634467072594,4.940568953924426,0.09548362171295821
0,0,KO,0.25,0.536,4.5282677974217105,5.037201753637349,0.09598348905390952
0,0,KO,0.25,0.548,4.624833562217995,5.150648139018175,0.10020364420004513
0,0,KO,0.25,0.56,4.723363632614804,5.277212923049148,0.10721232260858593
0,0,KO,0.25,0.5720000000000001,4.823886026334886,5.421666521931681,0.11819512389919873
0,0,KO,0.25,0.5840000000000001,4.926426046172846,5.577532571374158,0.13152663130032805
0,0,KO,0.25,0.5960000000000001,5.031006946322984,5.65888936828498,0.1257206054904989
0,0,KO,0.25,0.608,5.137650363092889,5.770609156033172,0.12698969823507067
0,0,KO,0.25,0.62,5.246376612651597,5.875910201837895,0.12613339729657458
0,0,KO,0.25,0.632,5.357204907144751,5.969096837074278,0.12172298248238178
0,0,KO,0.25,0.644,5.4701535174947,6.133165252950452,0.13450293386393786
0,0,KO,0.25,0.656,5.585239899685132,6.268603814098464,0.13959097860333292
0,0,KO,0.25,0.668,5.702480795073476,6.402278134766559,0.1436993349232707
0,0,KO,0.25,0.68,5.821892311652533,6.511576025955296,0.1411709285756908
0,0,KO,0.25,0.6920000000000001,5.9434899909757934,6.62142052750989,0.13823263413352405
0,0,KO,0.25,0.7040000000000001,6.06728886405817,6.76055988829325,0.14206775605876998
0,0,KO,0.25,0.7160000000000001,6.193303498640157,6.9048920506591465,0.14664713800474738
0,0,KO,0.25,0.728,6.321548039576489,6.989793254860091,0.13581130382090056
0,0,KO,0.25,0.74,6.452036243673724,7.181886677642016,0.15121260849207285
0,0,KO,0.25,0.752,6.584781509990025,7.38054426511939,0.16769068878234128
0,0,KO,0.25,0.764,6.719796906384211,7.509667629770239,0.166217680846507
0,0,KO,0.25,0.776,6.857095192933862,7.659981616985404,0.16947160601288558
0,0,KO,0.25,0.788,6.996688842716357,7.83826600729639,0.1791442911450083
0,0,KO,0.25,0.8,7.138590060350931,7.926266964367305,0.1656692260040935
0,0,KO,0.25,0.812,7.282810798625652,8.059886334114113,0.16301888387211516
0,0,KO,0.25,0.8240000000000001,7.429362773475383,8.161068446719675,0.15167641831107304
0,0,KO,0.25,0.8360000000000001,7.578257477531024,8.20834115223965,0.12627091867715623
0,0,KO,0.25,0.8480000000000001,7.729506192423942,8.29151427012848,0.1092520194261346
0,0,KO,0.25,0.86,7.88312,8.352874676121104,0.086188669030276
0,0,KO,0.25,0.872,8.039109792573974,8.422863871625127,0.06468851976278822
0,0,KO,0.25,0.884,8.197486282335477,8.507389166913931,0.04622572114461354
0,0,KO,0.25,0.896,8.358260010001581,8.548955494154061,0.018182383838074315
0,0,KO,0.25,0.908,8.521441352798046,8.61626395713514,0.0044956631466344515
0,0,KO,0.25,0.92,8.68704053183983,8.675363798760095,6.817304770768973e-05
0,0,KO,0.25,0.932,8.855067618972427,8.75724782467708,0.004784356077992019
0,0,KO,0.25,0.9440000000000001,9.025532543127563,8.772098490241701,0.03211440958107681
0,0,KO,0.25,0.9560000000000001,9.198445096240231,8.786911473139792,0.08467996147108717
0,0,KO,0.25,0.9680000000000001,9.373814938768296,8.805902402495846,0.16126232442770355
0,0,KO,0.25,0.98,9.551651604851093,8.82690011905438,0.2626323580822712
0,1,KPQR-1,0.25,0.02,2.3516516048510954,2.3252811802325,0.00034769964728251224
0,1,KPQR-1,0.25,0.032,2.3538149387682963,2.320578588980913,0.000552327473594641
0,1,KPQR-1,0.25,0.044,2.3584450962402292,2.346526595832069,7.102532598966815e-05
0,1,KPQR-1,0.25,0.05600000000000001,2.365532543127562,2.3730978547317036,2.8616969833875072e-05
0,1,KPQR-1,0.25,0.068,2.375067618972426,2.3736357164662762,1.0251723935594814e-06
0,1,KPQR-1,0.25,0.08,2.38704053183983,2.401011809715412,9.759830273836645e-05
0,1,KPQR-1,0.25,0.09200000000000001,2.4014413527980447,2.423387188301512,0.00024080984797263116
0,1,KPQR-1,0.25,0.10400000000000001,2.418260010001581,2.454186405255066,0.0006453529379548129
0,1,KPQR-1,0.25,0.116,2.4374862823354753,2.4789470708800914,0.0008594984933706917
0,1,KPQR-1,0.25,0.128,2.4591097925739756,2.5121844378296085,0.001408458984505645
0,1,KPQR-1,0.25,0.13999999999999999,2.48312,2.5469470840610584,0.0020369483298687124
0,1,KPQR-1,0.25,0.152,2.5095061924239404,2.575463237165162,0.0021751658754977504
0,1,KPQR-1,0.25,0.164,2.5382574775310243,2.6159980303685253,0.003021796777740157
0,1,KPQR-1,0.25,0.176,2.569362773475381,2.654182606864221,0.003597202068055305
0,1,KPQR-1,0.25,0.188,2.6028107986256512,2.6968810034594908,0.004424601718740262
0,1,KPQR-1,0.25,0.19999999999999998,2.6385900603509294,2.7348274235126535,0.004630815034160796
0,1,KPQR-1,0.25,0.212,2.6766888427163567,2.7756762045202397,0.004899248898446409
0,1,KPQR-1,0.25,0.224,2.717095192933862,2.8121001100237355,0.0045129671356268775
0,1,KPQR-1,0.25,0.236,2.7597969063842114,2.8494207638539706,0.004016217913879849
0,1,KPQR-1,0.25,0.248,2.8047815099900237,2.8940561363415105,0.003984979455098792
0,1,KPQR-1,0.25,0.26,2.8520362436737248,2.9330792857301824,0.0032839873328823765
0,1,KPQR-1,0.25,0.272,2.901548039576489,2.9842763803656522,0.0034219891848639578
0,1,KPQR-1,0.25,0.28400000000000003,2.9533034986401567,3.0323428515644375,0.003123609655344514
0,1,KPQR-1,0.25,0.29600000000000004,3.0072888640581694,3.0923821303856402,0.0036204319871389473
0,1,KPQR-1,0.25,0.30800000000000005,3.063489990975793,3.151245389541194,0.0038505049886861653
0,1,KPQR-1,0.25,0.32,3.121892311652533,3.2164575238692015,0.00447128968079176
0,1,KPQR-1,0.25,0.332,3.182480795073476,3.2815090231365764,0.004903294976658715
0,1,KPQR-1,0.25,0.34400000000000003,3.245239899685132,3.3342196717268098,0.003958699916294481
0,1,KPQR-1,0.25,0.35600000000000004,3.3101535174947005,3.389706903402999,0.0031643706047373293
0,1,KPQR-1,0.25,0.36800000000000005,3.377204907144751,3.4574401336226885,0.00321884578398296
0,1,KPQR-1,0.25,0.38,3.446376612651597,3.5237171271476577,0.0029907775912576956
0,1,KPQR-1,0.25,0.392,3.5176503630928884,3.596626796831967,0.003118638543071553
0,1,KPQR-1,0.25,0.404,3.5910069463229837,3.6776239743940624,0.0037512547759330217
0,1,KPQR-1,0.25,0.41600000000000004,3.6664260461728446,3.751954347374371,0.0036575451532095266
0,1,KPQR-1,0.25,0.42800000000000005,3.743886026334887,3.822159048760692,0.0030633330198352876
0,1,KPQR-1,0.25,0.44,3.823363632614804,3.893076810215687,0.0024299635656061386
0,1,KPQR-1,0.25,0.452,3.9048335622179935,3.970051059418853,0.0021266609705720696
0,1,KPQR-1,0.25,0.464,3.9882677974217096,4.055665384930134,0.0022712174009778957
0,1,KPQR-1,0.25,0.47600000000000003,4.073634467072593,4.144770264294795,0.0025301508232191128
0,1,KPQR-1,0.25,0.48800000000000004,4.160895548819313,4.230239801664887,0.0024043127013554377
0,1,KPQR-1,0.25,0.5,4.25,4.322834488705286,0.002652431372480238
0,1,KPQR-1,0.25,0.512,4.340895548819312,4.411761179471692,0.002510968803879743
0,1,KPQR-1,0.25,0.524,4.433634467072594,4.500353174249344,0.002225692943668506
0,1,KPQR-1,0.25,0.536,4.5282677974217105,4.598007754560396,0.002431830810852867
0,1,KPQR-1,0.25,0.548,4.624833562217995,4.693029180205584,0.002325321156354601
0,1,KPQR-1,0.25,0.56,4.723363632614804,4.7925423643832925,0.002392848464548236
0,1,KPQR-1,0.25,0.5720000000000001,4.823886026334886,4.895237430617968,0.0025455114465838813
0,1,KPQR-1,0.25,0.5840000000000001,4.926426046172846,4.9998639018826045,0.0026965593256236403
0,1,KPQR-1,0.25,0.5960000000000001,5.031006946322984,5.109982062520839,0.0031185344892323275
0,1,KPQR-1,0.25,0.608,5.137650363092889,5.22103895041323,0.0034768282476410617
0,1,KPQR-1,0.25,0.62,5.246376612651597,5.331097763876289,0.003588836732418596
0,1,KPQR-1,0.25,0.632,5.357204907144751,5.444290156132593,0.003791920295637227
0,1,KPQR-1,0.25,0.644,5.4701535174947,5.561885067709132,0.004207338652371384
0,1,KPQR-1,0.25,0.656,5.585239899685132,5.6771474651241265,0.0042235002924615045
0,1,KPQR-1,0.25,0.668,5.702480795073476,5.792700607332063,0.004069807261987343
0,1,KPQR-1,0.25,0.68,5.821892311652533,5.915918238367756,0.004420437447328243
0,1,KPQR-1,0.25,0.6920000000000001,5.9434899909757934,6.042995081364155,0.004950631506597983
0,1,KPQR-1,0.25,0.7040000000000001,6.06728886405817,6.171471996932693,0.0054270625877752415
0,1,KPQR-1,0.25,0.7160000000000001,6.193303498640157,6.309814402312105,0.006787395337226956
0,1,KPQR-1,0.25,0.728,6.321548039576489,6.4337473717074625,0.006294345065318285
0,1,KPQR-1,0.25,0.74,6.452036243673724,6.574497265509211,0.007498350934495773
0,1,KPQR-1,0.25,0.752,6.584781509990025,6.703420432743355,0.007037596996035345
0,1,KPQR-1,0.25,0.764,6.719796906384211,6.835867541856221,0.006736196209438092
0,1,KPQR-1,0.25,0.776,6.857095192933862,6.975961571128578,0.007064607932564637
0,1,KPQR-1,0.25,0.788,6.996688842716357,7.1092150887566845,0.006331078023964168
0,1,KPQR-1,0.25,0.8,7.138590060350931,7.248238232991671,0.006011360881726754
0,1,KPQR-1,0.25,0.812,7.282810798625652,7.397683899349908,0.006597914635002519
0,1,KPQR-1,0.25,0.8240000000000001,7.429362773475383,7.537952881254452,0.005895905753734984
0,1,KPQR-1,0.25,0.8360000000000001,7.578257477531024,7.685105505896571,0.005708250582802332
0,1,KPQR-1,0.25,0.8480000000000001,7.729506192423942,7.831610733114926,0.005212668614858321
0,1,KPQR-1,0.25,0.86,7.88312,7.980005424222914,0.004693392713427003
0,1,KPQR-1,0.25,0.872,8.039109792573974,8.130421387512513,0.004168903685109873
0,1,KPQR-1,0.25,0.884,8.197486282335477,8.278383583705878,0.0032721866845067393
0,1,KPQR-1,0.25,0.896,8.358260010001581,8.428674845008892,0.0024791244945533975
0,1,KPQR-1,0.25,0.908,8.521441352798046,8.583544259712134,0.00192838552358994
0,1,KPQR-1,0.25,0.92,8.68704053183983,8.739068950616032,0.0013534781801758933
0,1,KPQR-1,0.25,0.932,8.855067618972427,8.901382123590803,0.001072516669022805
0,1,KPQR-1,0.25,0.9440000000000001,9.025532543127563,9.055936516801342,0.00046220080757793103
0,1,KPQR-1,0.25,0.9560000000000001,9.198445096240231,9.210258269548719,6.977553180818885e-05
0,1,KPQR-1,0.25,0.9680000000000001,9.373814938768296,9.369613943836768,8.824179207361782e-06
0,1,KPQR-1,0.25,0.98,9.551651604851093,9.529400819312157,0.0002475487285498734
0,2,KPQR-2,0.25,0.02,2.3516516048510954,2.3703099856329506,0.00017406758670035494
0,2,KPQR-2,0.25,0.032,2.3538149387682963,2.357064336482286,5.279292751847464e-06
0,2,KPQR-2,0.25,0.044,2.3584450962402292,2.3506988428959694,3.0002220436725624e-05
0,2,KPQR-2,0.25,0.05600000000000001,2.365532543127562,2.3525120383511298,8.476677231654406e-05
0,2,KPQR-2,0.25,0.068,2.375067618972426,2.372572002509114,3.114050765973264e-06
0,2,KPQR-2,0.25,0.08,2.38704053183983,2.384156452291602,4.1589574202444135e-06
0,2,KPQR-2,0.25,0.09200000000000001,2.4014413527980447,2.402391378404015,4.5127432600489126e-07
0,2,KPQR-2,0.25,0.10400000000000001,2.418260010001581,2.419496070097028,7.639222797672929e-07
0,2,KPQR-2,0.25,0.116,2.4374862823354753,2.4418616957250214,9.57212116470263e-06
0,2,KPQR-2,0.25,0.128,2.4591097925739756,2.463775103369357,1.0882562408762175e-05
0,2,KPQR-2,0.25,0.13999999999999999,2.48312,2.4866918777733167,6.379155413752113e-06
0,2,KPQR-2,0.25,0.152,2.5095061924239404,2.510671282349754,6.787172676103737e-07
0,2,KPQR-2,0.25,0.164,2.5382574775310243,2.538803576800185,1.491122058883132e-07
0,2,KPQR-2,0.25,0.176,2.569362773475381,2.568318985533132,5.447466341901297e-07
0,2,KPQR-2,0.25,0.188,2.6028107986256512,2.6033858265718597,1.6532856945972174e-07
0,2,KPQR-2,0.25,0.19999999999999998,2.6385900603509294,2.6313514407231726,2.6198807057675744e-05
0,2,KPQR-2,0.25,0.212,2.6766888427163567,2.6667996136582297,4.889842568205072e-05
0,2,KPQR-2,0.25,0.224,2.717095192933862,2.705393742694173,6.846196885595957e-05
0,2,KPQR-2,0.25,0.236,2.7597969063842114,2.745521880369298,0.00010188818386322462
0,2,KPQR-2,0.25,0.248,2.8047815099900237,2.7881015287619193,0.0001391108868849522
0,2,KPQR-2,0.25,0.26,2.8520362436737248,2.833174780091138,0.00017787740423862164
0,2,KPQR-2,0.25,0.272,2.901548039576489,2.8814290679323173,0.00020238651000949182
0,2,KPQR-2,0.25,0.28400000000000003,2.9533034986401567,2.9307361203362365,0.0002546432817561173
0,2,KPQR-2,0.25,0.29600000000000004,3.0072888640581694,2.9816116340175642,0.00032966007127907537
0,2,KPQR-2,0.25,0.30800000000000005,3.063489990975793,3.0320893110849703,0.0004930013488029655
0,2,KPQR-2,0.25,0.32,3.121892311652533,3.0834775299139348,0.0007378477280120671
0,2,KPQR-2,0.25,0.332,3.182480795073476,3.1331649628759988,0.0012160256526648483
0,2,KPQR-2,0.25,0.34400000000000003,3.245239899685132,3.179278877523892,0.0021754282222778143
0,2,KPQR-2,0.25,0.35600000000000004,3.3101535174947005,3.242487876548701,0.0022893194823164764
0,2,KPQR-2,0.25,0.36800000000000005,3.377204907144751,3.3085312425513003,0.0023580361043469
0,2,KPQR-2,0.25,0.38,3.446376612651597,3.3792471428874,0.0022531828554111233
0,2,KPQR-2,0.25,0.392,3.5176503630928884,3.4502709814155854,0.0022699905376078328
0,2,KPQR-2,0.25,0.404,3.5910069463229837,3.5274216976776875,0.0020215419226420617
0,2,KPQR-2,0.25,0.41600000000000004,3.6664260461728446,3.603783232025054,0.0019620610821773354
0,2,KPQR-2,0.25,0.42800000000000005,3.743886026334887,3.6915192484871953,0.001371139711074748
0,2,KPQR-2,0.25,0.44,3.823363632614804,3.7748203788311034,0.0011782237439543902
0,2,KPQR-2,0.25,0.452,3.9048335622179935,3.862618579765189,0.0008910523717452906
0,2,KPQR-2,0.25,0.464,3.9882677974217096,3.955089002771884,0.000550416207207638
0,2,KPQR-2,0.25,0.47600000000000003,4.073634467072593,4.045914213633739,0.00038420622535716153
0,2,KPQR-2,0.25,0.48800000000000004,4.160895548819313,4.143969289403963,0.0001432491288978488
0,2,KPQR-2,0.25,0.5,4.25,4.234922374118233,0.00011366740111524998
0,2,KPQR-2,0.25,0.512,4.340895548819312,4.328421300903503,7.780343053254146e-05
0,2,KPQR-2,0.25,0.524,4.433634467072594,4.423196746954174,5.447300063522731e-05
0,2,KPQR-2,0.25,0.536,4.5282677974217105,4.520402768174545,3.092934252939272e-05
0,2,KPQR-2,0.25,0.548,4.624833562217995,4.6205239402186,9.286420888834912e-06
0,2,KPQR-2,0.25,0.56,4.723363632614804,4.721140813115618,2.4704632629740653e-06
0,2,KPQR-2,0.25,0.5720000000000001,4.823886026334886,4.824543231910148,2.1595958407671922e-07
0,2,KPQR-2,0.25,0.5840000000000001,4.926426046172846,4.929986648902975,6.3389459009077775e-06
0,2,KPQR-2,0.25,0.5960000000000001,5.031006946322984,5.037419167385932,2.0558289480054892e-05
0,2,KPQR-2,0.25,0.608,5.137650363092889,5.139331165355178,1.4125481224563918e-06
0,2,KPQR-2,0.25,0.62,5.246376612651597,5.250678141234499,9.251574074775615e-06
0,2,KPQR-2,0.25,0.632,5.357204907144751,5.3622633542294125,1.2793943454159074e-05
0,2,KPQR-2,0.25,0.644,5.4701535174947,5.47881159046761,3.7481113802126376e-05
0,2,KPQR-2,0.25,0.656,5.585239899685132,5.595201574788558,4.9617485433098296e-05
0,2,KPQR-2,0.25,0.668,5.702480795073476,5.713642706092971,6.229412880355556e-05
0,2,KPQR-2,0.25,0.68,5.821892311652533,5.833730601990965,7.00725590684903e-05
0,2,KPQR-2,0.25,0.6920000000000001,5.9434899909757934,5.957257058403435,9.476607277862648e-05
0,2,KPQR-2,0.25,0.7040000000000001,6.06728886405817,6.0819416076400135,0.00010735144723761358
0,2,KPQR-2,0.25,0.7160000000000001,6.193303498640157,6.207134486796538,9.564811669098006e-05
0,2,KPQR-2,0.25,0.728,6.321548039576489,6.3390831617591505,0.00015374025498043897
0,2,KPQR-2,0.25,0.74,6.452036243673724,6.469774765693057,0.00015732758171516092
0,2,KPQR-2,0.25,0.752,6.584781509990025,6.603598028589081,0.00017703068609431494
0,2,KPQR-2,0.25,0.764,6.719796906384211,6.739692199772752,0.00019791134950807032
0,2,KPQR-2,0.25,0.776,6.857095192933862,6.881411632962618,0.0002956446278360447
0,2,KPQR-2,0.25,0.788,6.996688842716357,7.022267087504118,0.0003271233032113158
0,2,KPQR-2,0.25,0.8,7.138590060350931,7.168911469088728,0.0004596939139222822
0,2,KPQR-2,0.25,0.812,7.282810798625652,7.317051264495915,0.0005862047515063223
0,2,KPQR-2,0.25,0.8240000000000001,7.429362773475383,7.463899876100491,0.0005964057288686542
0,2,KPQR-2,0.25,0.8360000000000001,7.578257477531024,7.612590802025131,0.000589388585408801
0,2,KPQR-2,0.25,0.8480000000000001,7.729506192423942,7.763362526349409,0.0005731256734363699
0,2,KPQR-2,0.25,0.86,7.88312,7.91594660610759,0.0005387930342714287
0,2,KPQR-2,0.25,0.872,8.039109792573974,8.072197131660387,0.0005473860039096196
0,2,KPQR-2,0.25,0.884,8.197486282335477,8.232687971110794,0.0006195794463171311
0,2,KPQR-2,0.25,0.896,8.358260010001581,8.393401069276699,0.0006174470234886625
0,2,KPQR-2,0.25,0.908,8.521441352798046,8.55628432032127,0.000607016192912202
0,2,KPQR-2,0.25,0.92,8.68704053183983,8.720588483839597,0.0005627325416893147
0,2,KPQR-2,0.25,0.932,8.855067618972427,8.877748453238036,0.00025721012149200473
0,2,KPQR-2,0.25,0.9440000000000001,9.025532543127563,9.0491511042624,0.00027891821504001657
0,2,KPQR-2,0.25,0.9560000000000001,9.198445096240231,9.223129492612337,0.00030465971212761955
0,2,KPQR-2,0.25,0.9680000000000001,9.373814938768296,9.399683618287844,0.0003345942900425114
0,2,KPQR-2,0.25,0.98,9.551651604851093,9.578813481288924,0.0003688837658119698
